 ID,Gene.symbol,Gene.title,log2Exp,log2FC
1552739_s_at,ST7L,suppression of tumorigenicity 7 like,7.596,-1.242
1552768_at,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,2.092,-1.008
1552772_at,CLEC4D,C-type lectin domain family 4 member D,3.973,-1.957
1552773_at,CLEC4D,C-type lectin domain family 4 member D,4.93,-1.356
1552777_a_at,RAET1E,retinoic acid early transcript 1E,4.481,-2.032
1552790_a_at,SEC62,"SEC62 homolog, preprotein translocation factor",7.672,-1.437
1552807_a_at,SIGLEC10,sialic acid binding Ig like lectin 10,4.335,-2.516
1552813_at,KLF14,Kruppel like factor 14,2.399,-1.186
1552818_a_at,BRS3,bombesin receptor subtype 3,3.142,-2.221
1552822_at,TMX3,thioredoxin related transmembrane protein 3,5.138,-1.151
1552836_at,ZNF619,zinc finger protein 619,5.913,-1.769
1552863_a_at,CACNG6,calcium voltage-gated channel auxiliary subunit gamma 6,8.942,-1.095
1552872_at,ASMTL-AS1,ASMTL antisense RNA 1,4.472,-1.759
1552873_s_at,ASMTL-AS1,ASMTL antisense RNA 1,7.461,-1.061
1552884_at,NKX6-3,NK6 homeobox 3,6.216,-1.224
1552887_at,TBATA,"thymus, brain and testes associated",5.277,-1.625
1552893_at,CAMK2N2,calcium/calmodulin dependent protein kinase II inhibitor 2,5.793,-1.83
1552898_a_at,KCNG3,potassium voltage-gated channel modifier subfamily G member 3,2.199,-2.684
1552900_a_at,LINC01312,long intergenic non-protein coding RNA 1312,4.989,-1.247
1552967_at,ZNF645,zinc finger protein 645,5.435,-1.607
1552971_at,SGCZ,sarcoglycan zeta,3.928,-1.951
1552976_at,DNAJB13,DnaJ heat shock protein family (Hsp40) member B13,6.308,-1.56
1552985_at,SLC30A8,solute carrier family 30 member 8,5.456,-1.467
1552986_at,LOC142937,uncharacterized protein BC008131,2.147,-1.467
1552990_at,FAM71E2,family with sequence similarity 71 member E2,0.839,-1.184
1552991_at,OR5P2,olfactory receptor family 5 subfamily P member 2,5.714,-2.016
1552998_at,DEFB125,defensin beta 125,2.523,-2.94
1553009_s_at,REXO1L1P,"REX1, RNA exonuclease 1 homolog-like 1, pseudogene",1.497,-1.204
1553016_at,ADGRF3,adhesion G protein-coupled receptor F3,5.903,-1.366
1553039_a_at,ASB10,ankyrin repeat and SOCS box containing 10,3.64,-1.448
1553041_at,HTR3C,5-hydroxytryptamine receptor 3C,3.396,-1.38
1553058_at,GIPC3,GIPC PDZ domain containing family member 3,2.883,-1.769
1553061_at,OR6W1P,olfactory receptor family 6 subfamily W member 1 pseudogene,2.412,-1.073
1553063_at,GPR78,G protein-coupled receptor 78,5.297,-1.478
1553077_at,SDR9C7,"short chain dehydrogenase/reductase family 9C, member 7",2.385,-1.557
1553078_at,OR5P3,olfactory receptor family 5 subfamily P member 3,4.207,-2.482
1553082_at,CRYGN,crystallin gamma N,2.353,-1.113
1553083_at,,,6.489,-1.085
1553133_at,C9orf72,chromosome 9 open reading frame 72,5.192,-2.109
1553134_s_at,C9orf72,chromosome 9 open reading frame 72,2.929,-2.709
1553138_a_at,ANKLE1,ankyrin repeat and LEM domain containing 1,4.212,2.176
1553141_at,LACC1,laccase domain containing 1,5.452,-1.22
1553145_at,TAPT1-AS1,TAPT1 antisense RNA 1 (head to head),6.821,-1.348
1553147_at,RANBP3L,RAN binding protein 3 like,1.427,-1.832
1553148_a_at,SNX13,sorting nexin 13,6.368,-1.498
1553179_at,ADAMTS19,ADAM metallopeptidase with thrombospondin type 1 motif 19,1.499,-2.065
1553190_s_at,PARD3B,par-3 family cell polarity regulator beta,4.787,-2.314
1553196_a_at,FCRL3,Fc receptor like 3,2.062,-1.352
1553229_at,ZNF572,zinc finger protein 572,5.125,3.159
1553243_at,ITIH5,inter-alpha-trypsin inhibitor heavy chain family member 5,4.081,-2.055
1553253_at,ASB16,ankyrin repeat and SOCS box containing 16,5.809,-2.204
1553275_s_at,,,5.461,-1.99
1553286_at,ZNF555,zinc finger protein 555,6.99,-1.008
1553293_at,MRGPRX3,MAS related GPR family member X3,4.236,-2.207
1553297_a_at,CSF3R,colony stimulating factor 3 receptor,4.938,-2.024
1553300_a_at,DGKH,diacylglycerol kinase eta,5.774,-1.858
1553323_a_at,LOC101930343///CATSPER2P1///CATSPER2,uncharacterized LOC101930343///cation channel sperm associated 2 pseudogene 1///cation channel sperm associated 2,5.29,-2.045
1553325_at,POU5F2,"POU domain class 5, transcription factor 2",5.137,-1.869
1553341_at,UROC1,urocanate hydratase 1,2.668,-1.039
1553352_x_at,ERVW-1,endogenous retrovirus group W member 1,5.642,-2.14
1553361_x_at,FBXL18,F-box and leucine rich repeat protein 18,3.626,-1.489
1553366_s_at,ANKRD23///ANKRD39,ankyrin repeat domain 23///ankyrin repeat domain 39,3.995,-1.872
1553367_a_at,COX6B2,cytochrome c oxidase subunit 6B2,5.527,-2.959
1553371_at,EPHA10,EPH receptor A10,4.689,-1.575
1553380_at,PARP15,poly(ADP-ribose) polymerase family member 15,0.038,-1.449
1553386_at,MFSD2A,major facilitator superfamily domain containing 2A,5.943,-1.285
1553390_at,ATG9B,autophagy related 9B,2.715,-1.787
1553395_a_at,CD200R1,CD200 receptor 1,6.075,-1.138
1553397_at,CCDC13,coiled-coil domain containing 13,7.08,-1.009
1553399_a_at,MGC57346///CRHR1-IT1,ADP-ribosylation factor pseudogene///CRHR1 intronic transcript 1,5.627,-1.495
1553400_a_at,MGC57346///CRHR1-IT1,ADP-ribosylation factor pseudogene///CRHR1 intronic transcript 1,6.839,-1.327
1553407_at,MACF1,microtubule-actin crosslinking factor 1,4.839,-1.653
1553409_at,ADAMTS20,ADAM metallopeptidase with thrombospondin type 1 motif 20,2.151,-2.617
1553413_at,LCAL1,lung cancer associated lncRNA 1,2.784,-3.461
1553417_at,C11orf44,chromosome 11 open reading frame 44,5.576,-1.172
1553422_s_at,RBFOX1,"RNA binding protein, fox-1 homolog 1",4.839,-1.814
1553436_at,MUC19,"mucin 19, oligomeric",5.071,-2.191
1553438_at,C11orf72,chromosome 11 open reading frame 72,6.553,-1.167
1553447_at,AGBL1,ATP/GTP binding protein like 1,4.264,-2.326
1553448_at,FLJ34503,uncharacterized FLJ34503,1.141,-1.382
1553451_at,TERB1,telomere repeat binding bouquet formation protein 1,1.392,-1.859
1553453_at,ASB14,ankyrin repeat and SOCS box containing 14,5.942,-1.151
1553454_at,RPTN,repetin,4.313,-2.229
1553482_at,C15orf32,chromosome 15 open reading frame 32,0.807,-1.285
1553505_at,A2ML1,alpha-2-macroglobulin like 1,5.565,-1.449
1553517_at,FERD3L,Fer3-like bHLH transcription factor,2.581,-1.741
1553526_at,NLRP8,NLR family pyrin domain containing 8,5.674,-1.512
1553531_at,PCSK6,proprotein convertase subtilisin/kexin type 6,3.219,-2.413
1553534_at,NLRP10,NLR family pyrin domain containing 10,4.844,-1.306
1553539_at,KRT74,keratin 74,2.607,-2.089
1553574_at,IFNE,interferon epsilon,6.107,-3.165
1553581_s_at,SREK1IP1,SREK1 interacting protein 1,10.357,-1.533
1553582_a_at,SPAG11A///SPAG11B,sperm associated antigen 11A///sperm associated antigen 11B,6.021,-1.045
1553591_at,BCRP3,breakpoint cluster region pseudogene 3,3.241,-2.253
1553592_x_at,BCRP3,breakpoint cluster region pseudogene 3,3.628,-2.712
1553594_a_at,INSL3,insulin like 3,7.174,-1.706
1553607_at,GRIK1-AS2///LINC00189///BACH1,GRIK1 antisense RNA 2///long intergenic non-protein coding RNA 189///BTB domain and CNC homolog 1,1.405,-2.576
1553612_at,ZNF354B,zinc finger protein 354B,6.259,-1.007
1553620_at,TRIM42,tripartite motif containing 42,1.173,-1.473
1553629_a_at,FAM71B,family with sequence similarity 71 member B,2.12,-1.512
1553630_at,C10orf107,chromosome 10 open reading frame 107,4.423,1.502
1553634_a_at,WEE2-AS1,WEE2 antisense RNA 1,4.006,-2.488
1553641_a_at,TSGA13,testis specific 13,2.194,-2.186
1553644_at,SYNE3,spectrin repeat containing nuclear envelope family member 3,6.204,-1.818
1553656_at,TECTB,tectorin beta,3.644,-1.231
1553658_at,LINC00896,long intergenic non-protein coding RNA 896,5.108,-1.233
1553663_a_at,NPB,neuropeptide B,2.933,-1.906
1553673_at,STK35,serine/threonine kinase 35,4.407,-2.275
1553681_a_at,PRF1,perforin 1,6.393,-1.253
1553690_at,SGO1,shugoshin 1,6.951,-1.011
1553701_a_at,DUSP18,dual specificity phosphatase 18,2.968,-1.664
1553720_a_at,AMER2,APC membrane recruitment protein 2,2.836,-1.235
1553722_s_at,RNF152,ring finger protein 152,4.622,-2.421
1553755_at,NXNL1,nucleoredoxin-like 1,2.549,-1.31
1553757_at,IQCG,IQ motif containing G,3.669,-2.231
1553769_at,SLAMF9,SLAM family member 9,3.383,-3.47
1553770_a_at,SLAMF9,SLAM family member 9,5.373,-3.195
1553775_at,LOC152048,uncharacterized FLJ31715,5.542,-2.125
1553794_at,STOML3,stomatin like 3,5.024,-1.635
1553801_a_at,DTD2,D-tyrosyl-tRNA deacylase 2 (putative),7.675,2.504
1553803_at,SPATA32,spermatogenesis associated 32,7.194,-1.342
1553809_a_at,TMEM252,transmembrane protein 252,5.37,-1.389
1553813_s_at,TLE6,transducin like enhancer of split 6,4.743,1.507
1553834_at,COL6A5,collagen type VI alpha 5 chain,1.939,-2.277
1553838_at,C4orf45,chromosome 4 open reading frame 45,2.228,-1.985
1553844_a_at,C10orf67,chromosome 10 open reading frame 67,4.829,-1.341
1553863_at,WDFY4,WDFY family member 4,3.6,-2.714
1553865_a_at,GPR26,G protein-coupled receptor 26,5.386,-1.81
1553871_at,CSNK1G2-AS1,CSNK1G2 antisense RNA 1,5.25,-2.321
1553886_at,CFAP65,cilia and flagella associated protein 65,-0.141,-1.559
1553891_at,KLF17,Kruppel like factor 17,6.165,-1.037
1553912_at,LINC00955,long intergenic non-protein coding RNA 955,3.31,-1.697
1553928_at,ELMOD2,ELMO domain containing 2,8.125,-1.685
1553944_at,MIA2///CTAGE5,"melanoma inhibitory activity 2///CTAGE family member 5, ER export factor",3.417,-2.054
1553945_at,GPHB5,glycoprotein hormone beta 5,4.936,-2.174
1553970_s_at,CEL,carboxyl ester lipase,3.144,-3.863
1553973_a_at,SPINK6,"serine peptidase inhibitor, Kazal type 6",5.178,-2.096
1553977_a_at,CYP39A1,cytochrome P450 family 39 subfamily A member 1,5.899,-1.47
1553982_a_at,RAB7B,"RAB7B, member RAS oncogene family",4.007,-5.399
1553990_at,BRICD5,BRICHOS domain containing 5,5.953,-1.706
1553993_s_at,MIR6800///MED25,microRNA 6800///mediator complex subunit 25,8.441,-1.165
1554003_at,ARHGEF28,Rho guanine nucleotide exchange factor 28,7.671,-1.953
1554010_at,NDST1,N-deacetylase and N-sulfotransferase 1,7.854,-1.255
1554014_at,CHD2,chromodomain helicase DNA binding protein 2,7.478,-2.043
1554015_a_at,CHD2,chromodomain helicase DNA binding protein 2,6.633,-1.722
1554023_s_at,CCDC13,coiled-coil domain containing 13,5.756,-1.221
1554036_at,ZBTB24,zinc finger and BTB domain containing 24,7.2,1.24
1554041_at,TMEM239,transmembrane protein 239,4.514,-1.626
1554045_at,ZNF24,zinc finger protein 24,4.57,-2.31
1554047_at,TXNDC9,thioredoxin domain containing 9,6.455,-1.095
1554062_at,XG,Xg blood group,5.538,-2.933
1554067_at,C12orf66,chromosome 12 open reading frame 66,7.565,1.432
1554068_s_at,C12orf66,chromosome 12 open reading frame 66,5.891,1.271
1554069_at,EPHA8,EPH receptor A8,2.823,-1.394
1554079_at,GALNT18,polypeptide N-acetylgalactosaminyltransferase 18,8.139,-1.951
1554094_at,ENTPD5,ectonucleoside triphosphate diphosphohydrolase 5,3.802,-3.262
1554097_a_at,MIR31HG,MIR31 host gene,7.195,-3.331
1554110_at,CDCP1,CUB domain containing protein 1,5.487,-2.373
1554115_at,C5orf58,chromosome 5 open reading frame 58,6.618,-1.108
1554147_s_at,MAATS1,MYCBP associated and testis expressed 1,5.076,1.383
1554149_at,CLDND1,claudin domain containing 1,9.728,-1.464
1554156_a_at,WFDC8,WAP four-disulfide core domain 8,1.058,-1.349
1554163_at,TWIST2,twist family bHLH transcription factor 2,5.832,-1.408
1554171_at,ZMYM3,zinc finger MYM-type containing 3,8.157,1.279
1554172_a_at,ZMYM3,zinc finger MYM-type containing 3,6.91,1.055
1554176_a_at,C3orf33,chromosome 3 open reading frame 33,6.414,2.493
1554208_at,MEI1,meiotic double-stranded break formation protein 1,6.9,-1.404
1554212_s_at,KCNS2,potassium voltage-gated channel modifier subfamily S member 2,3.823,-1.534
1554216_at,VPS50,"VPS50, EARP/GARPII complex subunit",4.341,3.492
1554217_a_at,VPS50,"VPS50, EARP/GARPII complex subunit",5.126,2.833
1554222_at,MGC45922,uncharacterized LOC284365,3.82,-1.661
1554225_a_at,LOC101929497,uncharacterized LOC101929497,3.255,-2.284
1554242_a_at,COCH,cochlin,6.105,5.497
1554252_a_at,CERS3,ceramide synthase 3,5.961,-3.202
1554253_a_at,CERS3,ceramide synthase 3,7.203,-2.68
1554256_a_at,PCNX2,pecanex homolog 2 (Drosophila),5.317,-2.976
1554258_a_at,DNAJC5B,DnaJ heat shock protein family (Hsp40) member C5 beta,6.184,-1.588
1554262_s_at,KLHL29,kelch like family member 29,5.815,-2.047
1554293_at,TTBK2,tau tubulin kinase 2,5.163,-1.866
1554294_s_at,TTBK2,tau tubulin kinase 2,4.775,-1.523
1554301_at,LHFPL3-AS1,LHFPL3 antisense RNA 1,2.874,-2.349
1554312_at,RNF170,ring finger protein 170,6.676,-1.355
1554328_at,STXBP4,syntaxin binding protein 4,3.437,1.538
1554331_a_at,LRRC18,leucine rich repeat containing 18,5.134,-1.109
1554346_at,GNB5,G protein subunit beta 5,3.749,-1.458
1554348_s_at,CDKN2AIPNL,CDKN2A interacting protein N-terminal like,7.343,-1.761
1554355_a_at,SIAE,sialic acid acetylesterase,2.38,-2.117
1554385_a_at,PADI2,peptidyl arginine deiminase 2,5.201,-2.599
1554396_at,UEVLD,UEV and lactate/malate dehyrogenase domains,7.007,-1.118
1554404_a_at,,,2.008,-1.339
1554414_a_at,OSGIN2,oxidative stress induced growth inhibitor family member 2,8.63,1.216
1554420_at,ATF3,activating transcription factor 3,5.053,-2.047
1554424_at,FIP1L1,factor interacting with PAPOLA and CPSF1,5.991,1.866
1554438_at,KIAA1217,KIAA1217,5.405,-2.616
1554442_at,BEST1,bestrophin 1,4.328,-1.627
1554443_s_at,BEST1,bestrophin 1,3.84,-2.708
1554444_s_at,SLC35F6,solute carrier family 35 member F6,7.163,-1.276
1554453_at,HNRNPLL,heterogeneous nuclear ribonucleoprotein L like,5.793,-1.84
1554466_a_at,METTL26,methyltransferase like 26,6.331,4.303
1554472_a_at,PHF20L1,PHD finger protein 20-like 1,5.761,2.114
1554482_a_at,SAR1B,secretion associated Ras related GTPase 1B,9.078,-1.105
1554486_a_at,GFOD1,glucose-fructose oxidoreductase domain containing 1,5.395,-1.81
1554489_a_at,CEP70,centrosomal protein 70,7.989,1.377
1554491_a_at,SERPINC1,serpin family C member 1,2.493,-1.001
1554503_a_at,OSCAR,"osteoclast associated, immunoglobulin-like receptor",5.365,-1.541
1554506_x_at,NAALAD2,N-acetylated alpha-linked acidic dipeptidase 2,3.747,-2.046
1554512_a_at,CEP89,centrosomal protein 89,3.888,1.922
1554513_s_at,CEP89,centrosomal protein 89,5.384,2.591
1554516_at,LINC00537,long intergenic non-protein coding RNA 537,6.325,-1.156
1554519_at,CD80,CD80 molecule,5.167,-1.383
1554530_at,VSTM2A,V-set and transmembrane domain containing 2A,1.887,-1.748
1554531_at,TTC12,tetratricopeptide repeat domain 12,5.902,-1.219
1554543_at,SPAG9,sperm associated antigen 9,6.041,-1.02
1554559_at,GPR62,G protein-coupled receptor 62,5.297,-2.22
1554560_at,PGM5,phosphoglucomutase 5,3.918,-1.785
1554565_x_at,SPPL3,signal peptide peptidase like 3,3.024,-1.089
1554568_at,DYNLRB1,dynein light chain roadblock-type 1,4.632,1.099
1554571_at,APBB1IP,amyloid beta precursor protein binding family B member 1 interacting protein,4.965,-1.459
1554572_a_at,SUV39H2,suppressor of variegation 3-9 homolog 2,8.892,1.545
1554591_at,PCAT4,prostate cancer associated transcript 4 (non-protein coding),6.653,-1.083
1554608_at,TGOLN2,trans-golgi network protein 2,6.941,-2.778
1554624_a_at,SIRPB1,signal regulatory protein beta 1,4.177,-1.829
1554625_at,BCL6B,B-cell CLL/lymphoma 6B,6.234,-1.31
1554631_at,ATM,ATM serine/threonine kinase,5.066,-1.681
1554635_a_at,NPAS3,neuronal PAS domain protein 3,2.8,-1.312
1554638_at,ZFYVE16,zinc finger FYVE-type containing 16,6.617,-1.131
1554649_at,,,5.713,-1.462
1554662_at,C17orf47,chromosome 17 open reading frame 47,2.849,-1.043
1554671_a_at,SRRM2,serine/arginine repetitive matrix 2,4.146,-2.306
1554678_s_at,HNRNPDL,heterogeneous nuclear ribonucleoprotein D like,10.894,1.335
1554679_a_at,LAPTM4B,lysosomal protein transmembrane 4 beta,9.693,1.831
1554680_s_at,KCNS2,potassium voltage-gated channel modifier subfamily S member 2,5.481,-1.873
1554690_a_at,TACC1,transforming acidic coiled-coil containing protein 1,2.948,-2.686
1554692_at,SLC23A2,solute carrier family 23 member 2,5.009,-1.138
1554696_s_at,TYMS,thymidylate synthetase,10.049,2.653
1554701_a_at,TBC1D16,TBC1 domain family member 16,7.118,-1.106
1554714_at,RELL1,RELT like 1,1.68,-1.157
1554748_at,CLCNKB,chloride voltage-gated channel Kb,5.07,-2.107
1554752_a_at,,,2.702,-1.957
1554758_a_at,CD99L2,CD99 molecule like 2,3.707,-1.672
1554761_a_at,DNAAF5,dynein axonemal assembly factor 5,7.919,1.627
1554782_at,KLHL30-AS1,KLHL30 antisense RNA 1,5.155,-1.464
1554789_a_at,PDE8B,phosphodiesterase 8B,4.308,-1.139
1554795_a_at,FBLIM1,filamin binding LIM protein 1,5.573,-3.692
1554812_at,CLDN20,claudin 20,4.911,-1.267
1554837_a_at,CYP4A22///CYP4A11,cytochrome P450 family 4 subfamily A member 22///cytochrome P450 family 4 subfamily A member 11,5.623,-1.552
1554840_at,LOC280665,anti-CNG alpha 1 cation channel translation product-like,5.966,-1.363
1554860_at,PTPN7,"protein tyrosine phosphatase, non-receptor type 7",5.655,-1.02
1554889_at,TIA1,TIA1 cytotoxic granule-associated RNA binding protein,3.898,2.01
1554932_at,ZSWIM2,zinc finger SWIM-type containing 2,0.855,-2.172
1554961_at,FGFR4,fibroblast growth factor receptor 4,3.109,-2.729
1554965_at,FILIP1L,filamin A interacting protein 1 like,3.821,-2.795
1554970_at,PDILT,"protein disulfide isomerase like, testis expressed",2.138,-1.78
1555006_at,WDR66,WD repeat domain 66,4.528,-4.15
1555007_s_at,WDR66,WD repeat domain 66,7.029,-3.549
1555019_at,CDHR1,cadherin related family member 1,3.567,-3.892
1555033_a_at,RGS12,regulator of G-protein signaling 12,0.801,-1.112
1555038_at,EPB41L4A,erythrocyte membrane protein band 4.1 like 4A,1.396,-1.597
1555041_a_at,NAGA,alpha-N-acetylgalactosaminidase,8.189,-1.378
1555052_a_at,SYT9,synaptotagmin 9,5.258,-2.015
1555058_a_at,LPGAT1,lysophosphatidylglycerol acyltransferase 1,6.235,-1.448
1555060_a_at,IKZF2,IKAROS family zinc finger 2,2.917,-1.33
1555074_a_at,KCNH5,potassium voltage-gated channel subfamily H member 5,5.046,-1.107
1555092_at,VASH2,vasohibin 2,5.64,-1.193
1555107_a_at,UVSSA,UV stimulated scaffold protein A,5.339,-2.225
1555110_a_at,KLHL3,kelch like family member 3,2.115,-1.702
1555114_at,ATP6V0A2,ATPase H+ transporting V0 subunit a2,4.424,2.132
1555118_at,ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3,3.583,-2.767
1555129_at,,,6.514,-1.045
1555130_at,PER3,period circadian clock 3,3.051,-2.18
1555131_a_at,PER3,period circadian clock 3,5.83,-1.175
1555139_a_at,OTUD7B,OTU deubiquitinase 7B,5.532,-1.237
1555141_a_at,LOC101929373///SLC9B1,uncharacterized LOC101929373///solute carrier family 9 member B1,4.085,-1.903
1555164_at,KIF26B,kinesin family member 26B,3.019,-2.424
1555181_a_at,ST3GAL3,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3",7.588,-1.437
1555191_a_at,FHL5,four and a half LIM domains 5,4.461,-1.611
1555197_a_at,C21orf58,chromosome 21 open reading frame 58,1.055,-1.218
1555204_at,,,3.17,-1.902
1555206_at,LOC100287210,uncharacterized LOC100287210,5.893,-1.101
1555212_at,OR8B8,olfactory receptor family 8 subfamily B member 8,5.852,-1.309
1555215_a_at,HRH3,histamine receptor H3,6.478,-2.074
1555217_at,UBE2W,ubiquitin conjugating enzyme E2 W (putative),4.003,-1.441
1555219_at,RGR,retinal G protein coupled receptor,4.247,-2.148
1555230_a_at,KCNIP2,potassium voltage-gated channel interacting protein 2,1.015,-1.494
1555233_at,RHOJ,ras homolog family member J,1.706,-2.917
1555236_a_at,PGC,progastricsin,4.987,-2.028
1555255_a_at,PPIP5K1,diphosphoinositol pentakisphosphate kinase 1,7.152,-1.551
1555266_a_at,ASXL2,"additional sex combs like 2, transcriptional regulator",5.597,-1.064
1555270_a_at,WFS1,wolframin ER transmembrane glycoprotein,5.315,3.117
1555291_at,TRPV3,transient receptor potential cation channel subfamily V member 3,5.497,-1.258
1555300_a_at,MED12L,mediator complex subunit 12 like,5.686,-1.149
1555301_a_at,DIP2A,disco interacting protein 2 homolog A,7.115,-1.463
1555306_a_at,ECE2,endothelin converting enzyme 2,6.565,-1.046
1555309_a_at,CARD14,caspase recruitment domain family member 14,1.774,-1.192
1555311_at,,,7.121,-1.401
1555316_a_at,KCNH7,potassium voltage-gated channel subfamily H member 7,4.186,-1.395
1555320_a_at,STAB1,stabilin 1,4.83,-1.823
1555322_at,PP2672,uncharacterized LOC100130249,5.445,-1.066
1555325_s_at,ZNF26,zinc finger protein 26,7.923,1.198
1555347_at,PDXDC1,pyridoxal dependent decarboxylase domain containing 1,4.907,-1.282
1555363_s_at,LINC00663,long intergenic non-protein coding RNA 663,3.274,-2.683
1555366_at,NSAP11,nervous system abundant protein 11,3.345,-2.477
1555371_at,ABCB5,ATP binding cassette subfamily B member 5,5.171,-1.333
1555379_at,FAM159A,family with sequence similarity 159 member A,3.36,-1.548
1555380_at,ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4,5.952,-1.401
1555382_at,POF1B,"premature ovarian failure, 1B",2.415,-2.497
1555387_at,UBA1,ubiquitin like modifier activating enzyme 1,4.987,-1.477
1555420_a_at,KLF7,Kruppel like factor 7,7.169,-2.454
1555430_at,TSTD2,thiosulfate sulfurtransferase like domain containing 2,1.304,-2.064
1555433_at,SLC39A14,solute carrier family 39 member 14,4.871,-1.444
1555436_a_at,AFF4,AF4/FMR2 family member 4,5.58,-2.2
1555447_at,ADGRG5,adhesion G protein-coupled receptor G5,5.937,-1.369
1555463_a_at,CHD6,chromodomain helicase DNA binding protein 6,4.235,1.503
1555469_a_at,CLASP2,cytoplasmic linker associated protein 2,5.845,-1.666
1555480_a_at,FBLIM1,filamin binding LIM protein 1,6.001,-2.317
1555486_a_at,PRR5L,proline rich 5 like,6.856,-1.288
1555489_at,,,5.358,-1.34
1555497_a_at,CYP4B1,cytochrome P450 family 4 subfamily B member 1,4.705,-3.37
